text,label_is_scam
"Your account has been blocked. Share your OTP immediately to unblock it.",1
"நீங்கள் உடனடியாக OTP கொடுக்க வேண்டும், இல்லையேல் உங்கள் கணக்கு முடக்கப்படும்.",1
"Aapka account band ho jayega. Abhi OTP batao.",1
"உங்கள் வங்கி கணக்கு மூடப்படும். இப்போதே KYC செய்யுங்கள்.",1
"This is RBI calling. Your account shows suspicious transactions. Give us remote access.",1
"CBI officer speaking. You are under arrest. Pay fine immediately to avoid jail.",1
"உங்கள் மீது வழக்கு போடப்பட்டுள்ளது. இப்போதே பணம் செலுத்துங்கள்.",1
"Transfer money to this UPI ID right now or your number will be blocked.",1
"Download AnyDesk and share the 9-digit code with us immediately.",1
"Your electricity will be cut in 2 hours. Pay Rs 1500 now to avoid disconnection.",1
"I am from Amazon. You won a prize. Share your bank account number to receive it.",1
"Your PAN card is linked to money laundering. Verify by sending your Aadhaar number.",1
"நீங்கள் லாட்டரியில் வெற்றி பெற்றீர்கள். பரிசை பெற உங்கள் வங்கி விவரங்களை கொடுங்கள்.",1
"Ek ghante mein police aayegi. Bachne ke liye 5000 rupaye is account mein bhejo.",1
"உடனே TeamViewer install பண்ணுங்க, நான் உங்க phone access பண்ணணும்.",1
"Your SIM card will be deactivated. Share the OTP sent to your phone to reactivate.",1
"Income tax department calling. You owe tax. Pay immediately or face legal action.",1
"உங்கள் credit score குறைந்துவிட்டது. இப்போதே loan தீர்க்க பணம் செலுத்துங்கள்.",1
"Is number pe callback karo, nahi to aapka mobile number block ho jayega.",1
"Send USDT to this wallet or we will release your private photos online.",1
"Hello, how are you? Did you receive my message about the meeting tomorrow?",0
"Your order has been shipped and will arrive by Friday.",0
"நல்ல நாள். நீங்கள் எப்படி இருக்கிறீர்கள்?",0
"Aaj mausam bahut achha hai. Kya haal hai?",0
"Can we reschedule the appointment to next week?",0
"Thank you for calling customer support. Your issue has been resolved.",0
"Your package will be delivered between 2 PM and 4 PM today.",0
"உங்கள் மருத்துவ சந்திப்பு நாளை காலை 10 மணிக்கு உள்ளது.",0
"Please call us back at your convenience to discuss the insurance renewal.",0
"Your feedback has been recorded. Thank you for your time.",0
"Aapki flight 10 minute late hai. Boarding pass ready rakhein.",0
"The meeting has been moved to conference room B on the third floor.",0
"உங்கள் மின்சார கட்டணம் இந்த மாதம் ரூபாய் 1200 உள்ளது.",0
"Kal school mein parents meeting hai. Samay par aana.",0
"Your blood test results are ready. Please visit the clinic to collect them.",0
"Hi, I am calling to confirm your hotel reservation for next month.",0
"நாளை மார்க்கெட் வருகிறீர்களா? சீக்கிரம் கிளம்புங்கள்.",0
"The document you requested has been emailed to you.",0
"Aapka EMI payment successful raha. Receipt SMS kar diya gaya hai.",0
"Please verify your address for the delivery of your new debit card.",0
"Don't share your OTP with anyone! This is an urgent security alert!",1
"உங்கள் GPay account hack ஆகிவிட்டது. உடனடியாக OTP கொடுங்கள்.",1
"Ek lakh rupaye aapke account mein aane wale hain. Bas ye form bharo.",1
"Your Aadhaar is being misused. Submit documents online to avoid penalty.",1
"நீங்கள் lucky winner! உங்கள் prize claim பண்ண இந்த link click பண்ணுங்க.",1
