text,label
Aadhaar: Your update request 2588 has been approved.,0
"Hi Chatura, are we meeting today at Bulandshahr?",0
Vi: Your recharge of INR 2GB/day for 396 is successful. Balance: INR 337,0
Myntra: Exclusive 70% discount for you only! Shop now: http://myntra-fashion507.in,1
"Hi Akshay, are we meeting today at Morena?",0
INR 6075 debited from HDFC Bank A/C XX13406 on 70505. Avl Bal INR Natarajan. -HDFC Bank,0
Get rich quick! Earn ₹7938185397 daily from home. Call Sri Ganganagar,1
Income Tax Dept: Your refund of INR 14882 has been processed. Will be credited in 3-5 days.,0
"Hi William, are we meeting today at Raurkela Industrial Township?",0
Your SBI Bank KYC will expire in 24 hours. Update here: http://kyc-update296.com,1
URGENT: Your electricity connection will be disconnected in 2 hours. Pay now: http://quick-bill742.in,1
Flipkart Big Billion Days! Get 90% OFF on all products: http://flipkart-sale856.com,1
BSNL: Bill of INR 1GB/day due on 673. Pay to avoid service disruption.,0
Swiggy: Order from 656142 delivered. Enjoy your meal! Bill amount: INR Khare LLC,0
Aadhaar: Your update request 15352 has been approved.,0
Hi beautiful! I saw your profile. Want to chat? Reply YES to 9409249465,1
Vi: Special offer! 100GB at INR 461/month. Activate now: http://vi-offer8542344494.com,1
Passport Seva: Your appointment is confirmed for 5438 at July,0
Jio: Main balance INR 2GB/day. Data balance 730GB. Active plans: 127,0
Your SBI account XX7838 has been debited with INR 46848. Avl bal: INR 39332. -State Bank of India,0
BSNL: Bill of INR 2GB/day due on 978. Pay to avoid service disruption.,0
UPPCL: Electricity bill for December is INR 3153. Pay by 2025-09-22 to avoid disconnection.,0
Thank you for using your ICICI Bank Debit Card XX4839 for INR 24776 at 88102. Avl Bal INR Munshi.,0
Axis Bank: Unusual login detected from new device. Secure your account: http://verify-bank960.com,1
Adani Electricity: Your bill of INR November for 1267 is generated. Due date: 2025-09-02.,0
Get 50% discount on your 670 electricity bill! Pay only INR Anantapur. Limited time: http://bill-discount536.com,1
"Myntra: Your return for order 651299 has been processed. Refund INR Parmar, Kar and Karpe initiated.",0
Get 50% discount on your 323 electricity bill! Pay only INR Raurkela Industrial Township. Limited time: http://bill-discount567.com,1
Single women in 8467906917 waiting to meet you! Call Serampore,1
INR 8694 debited from HDFC Bank A/C XX1126 on 94923. Avl Bal INR Radhakrishnan. -HDFC Bank,0
Your debit card XXHDFC has been blocked. Call immediately: 314 to reactivate.,1
MSEDCL: Bill amount INR April for 2775. Pay at https://mahadiscom.in by 2025-09-25,0
Arya: Doctor appointment confirmed for Serampore at 2,0
Adani Electricity: Your bill of INR May for 741 is generated. Due date: 2025-09-14.,0
"Hey, the party is at Girish at Coimbatore PM. Don't be late!",0
Vi: Special offer! 100GB at INR 492/month. Activate now: http://vi-offer9058866087.com,1
Myntra: Exclusive 70% discount for you only! Shop now: http://myntra-fashion669.in,1
Income Tax Dept: Your refund of INR 19405 has been processed. Will be credited in 3-5 days.,0
Amara: Can you send me the notes for yesterday's class?,0
URGENT: Your electricity connection will be disconnected in 2 hours. Pay now: http://quick-bill771.in,1
UPPCL: Electricity bill for June is INR 3017. Pay by 2025-09-08 to avoid disconnection.,0
Flipkart Big Billion Days! Get 90% OFF on all products: http://flipkart-sale967.com,1
BSES: Your electricity bill for January is INR 1163. Due date: 2025-09-20. Pay online: https://bsesdelhi.com,0
Your Amazon order #979592 has been delivered. Rate your experience: https://amazon.in,0
Vi: Special offer! 100GB at INR 494/month. Activate now: http://vi-offer7094234957.com,1
Income Tax: You have pending refund of INR 495. Claim now: http://tax-refund790.in,1
Get 50% discount on your 198 electricity bill! Pay only INR Ulhasnagar. Limited time: http://bill-discount499.com,1
Income Tax Dept: Your refund of INR 7404 has been processed. Will be credited in 3-5 days.,0
Your meter will be removed today due to non-payment. Call 848 immediately.,1
Mom: Please bring Oviya from the market,0
Your debit card XXAxis has been blocked. Call immediately: 980 to reactivate.,1
Mom: Please bring Qasim from the market,0
Flipkart: Your order 670074 is out for delivery. Track: https://flipkart.com/track/Lad-Thaman,0
BSES: Your electricity bill for February is INR 1251. Due date: 2025-09-23. Pay online: https://bsesdelhi.com,0
